"Data","Municipio","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate","Área","População","Densidade Demográfica","Taxa Geométrica de Crescimento Anual da População - 2010/2020","Grau de Urbanização","Índice de Envelhecimento","População com Menos de 15 Anos","População com 60 Anos e Mais","Razão de Sexos","Qtd_Leitos_UTI_Adulto","SUS","Qtd_Leitos_UTI_Pediatrica","SUS_Pediatrica"
"2020-04-05","Guarulhos",62,5,"False",1379182,3518800,4.49542,0.0806,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-05","São Bernardo do Campo",81,5,"False",838936,3548708,9.65509,0.0617,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-05","São Caetano do Sul",38,1,"False",161127,3548807,23.58388,0.0263,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-05","São Paulo",3612,220,"False",12252023,3550308,29.48085,0.0609,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-04","Guarulhos",62,5,"False",1379182,3518800,4.49542,0.0806,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-04","São Bernardo do Campo",77,4,"False",838936,3548708,9.17829,0.0519,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-04","São Caetano do Sul",38,1,"False",161127,3548807,23.58388,0.0263,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-04","São Paulo",3496,212,"False",12252023,3550308,28.53406,0.0606,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-03","Guarulhos",52,2,"False",1379182,3518800,3.77035,0.0385,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-03","São Bernardo do Campo",70,4,"False",838936,3548708,8.3439,0.0571,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-03","São Caetano do Sul",36,1,"False",161127,3548807,22.34262,0.0278,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-03","São Paulo",3202,186,"False",12252023,3550308,26.13446,0.0581,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-02","Guarulhos",35,2,"False",1379182,3518800,2.53774,0.0571,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-02","São Bernardo do Campo",59,2,"False",838936,3548708,7.03272,0.0339,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-02","São Caetano do Sul",33,1,"False",161127,3548807,20.48074,0.0303,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-02","São Paulo",2815,164,"False",12252023,3550308,22.9758,0.0583,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-04-01","Guarulhos",25,2,"False",1379182,3518800,1.81267,0.08,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-04-01","São Bernardo do Campo",52,2,"False",838936,3548708,6.19833,0.0385,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-04-01","São Caetano do Sul",32,1,"False",161127,3548807,19.86011,0.0312,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-04-01","São Paulo",2418,144,"False",12252023,3550308,19.73552,0.0596,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-31","Guarulhos",21,2,"False",1379182,3518800,1.52264,0.0952,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-31","São Bernardo do Campo",44,1,"False",838936,3548708,5.24474,0.0227,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-31","São Caetano do Sul",30,1,"False",161127,3548807,18.61885,0.0333,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-31","São Paulo",1885,121,"False",12252023,3550308,15.38521,0.0642,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-30","Guarulhos",14,2,"False",1379182,3518800,1.01509,0.1429,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-30","São Bernardo do Campo",33,1,"False",838936,3548708,3.93355,0.0303,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-30","São Caetano do Sul",27,0,"False",161127,3548807,16.75697,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-30","São Paulo",1233,103,"False",12252023,3550308,10.06364,0.0835,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-27","Guarulhos",13,2,"False",1379182,3518800,0.94259,0.1538,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-27","São Bernardo do Campo",15,0,"False",838936,3548708,1.78798,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-27","São Caetano do Sul",16,0,"False",161127,3548807,9.93006,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-27","São Paulo",1044,62,"False",12252023,3550308,8.52104,0.0594,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-26","Guarulhos",9,1,"False",1379182,3518800,0.65256,0.1111,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-26","São Bernardo do Campo",13,0,"False",838936,3548708,1.54958,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-26","São Caetano do Sul",17,0,"False",161127,3548807,10.55068,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-26","São Paulo",899,53,"False",12252023,3550308,7.33756,0.059,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-25","Guarulhos",5,1,"False",1379182,3518800,0.36253,0.2,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-25","São Bernardo do Campo",13,0,"False",838936,3548708,1.54958,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-25","São Caetano do Sul",16,0,"False",161127,3548807,9.93006,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-25","São Paulo",722,44,"False",12252023,3550308,5.8929,0.0609,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-20","Guarulhos",1,0,"False",1379182,3518800,0.07251,,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-20","São Bernardo do Campo",4,0,"False",838936,3548708,0.47679,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-20","São Caetano do Sul",4,0,"False",161127,3548807,2.48251,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-20","São Paulo",306,9,"False",12252023,3550308,2.49755,0.0294,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-19","Guarulhos",1,0,"False",1379182,3518800,0.07251,,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-19","São Bernardo do Campo",3,0,"False",838936,3548708,0.3576,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-19","São Caetano do Sul",1,0,"False",161127,3548807,0.62063,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-19","São Paulo",259,5,"False",12252023,3550308,2.11394,0.0193,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-18","Guarulhos",1,0,"False",1379182,3518800,0.07251,,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-18","São Bernardo do Campo",3,0,"False",838936,3548708,0.3576,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-18","São Caetano do Sul",6,0,"False",161127,3548807,3.72377,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-18","São Paulo",214,3,"False",12252023,3550308,1.74665,0.014,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
"2020-03-17","Guarulhos",1,0,"False",1379182,3518800,0.07251,,"318,68","1.351.275","4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
"2020-03-17","São Bernardo do Campo",1,0,"False",838936,3548708,0.1192,,"409,53","812.086","1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
"2020-03-17","São Caetano do Sul",1,0,"False",161127,3548807,0.62063,,"15,33","151.244","9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
"2020-03-17","São Paulo",156,1,"False",12252023,3550308,1.27326,0.0064,"1.521,11","11.869.660","7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
