Date,Country,Lat,Long,Confirmed,Deaths,GDP_Nominal_per_capta,Province/State,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,quarantine,schools,restrictions,temperature,humidity,recovered
2020-01-31,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,63,0
2020-02-01,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,13,83,0
2020-02-02,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,86,0
2020-02-03,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,84,0
2020-02-04,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,15,83,0
2020-02-05,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,6,85,0
2020-02-06,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,5,62,0
2020-02-07,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,8,55,0
2020-02-08,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,11,66,0
2020-02-09,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,11,72,0
2020-02-10,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,83,0
2020-02-11,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,88,0
2020-02-12,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,86,0
2020-02-13,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,67,0
2020-02-14,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,9,78,0
2020-02-15,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,70,0
2020-02-16,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,16,65,0
2020-02-17,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,15,63,0
2020-02-18,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,15,68,0
2020-02-19,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,81,0
2020-02-20,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,81,0
2020-02-21,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,13,59,0
2020-02-22,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,57,0
2020-02-23,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,54,0
2020-02-24,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,16,59,0
2020-02-25,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,17,67,0
2020-02-26,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,15,76,0
2020-02-27,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,6,89,0
2020-02-28,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,7,89,0
2020-02-29,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,11,56,0
2020-03-01,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,13,53,0
2020-03-02,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,17,76,0
2020-03-03,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,16,70,0
2020-03-04,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,91,0
2020-03-05,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,11,83,0
2020-03-06,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,69,0
2020-03-07,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,10,91,0
2020-03-08,Albania,41.1533,20.1683,0,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,89,0
2020-03-09,Albania,41.1533,20.1683,2,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,86,0
2020-03-10,Albania,41.1533,20.1683,10,0,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,12,81,0
2020-03-11,Albania,41.1533,20.1683,12,1,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,14,72,0
2020-03-12,Albania,41.1533,20.1683,23,1,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,21,67,0
2020-03-13,Albania,41.1533,20.1683,33,1,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,20,67,0
2020-03-14,Albania,41.1533,20.1683,38,1,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,20,73,0
2020-03-15,Albania,41.1533,20.1683,42,1,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,13,87,0
2020-03-16,Albania,41.1533,20.1683,51,1,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,13,70,0
2020-03-17,Albania,41.1533,20.1683,55,1,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,15,60,0
2020-03-18,Albania,41.1533,20.1683,59,2,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,19,57,0
2020-03-19,Albania,41.1533,20.1683,64,2,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,15,64,0
2020-03-20,Albania,41.1533,20.1683,70,2,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,18,62,0
2020-03-21,Albania,41.1533,20.1683,76,2,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,18,63,2
2020-03-22,Albania,41.1533,20.1683,89,2,6007,,2877797,1813012,105,36,846072.318,-999,-999,266,2.9,-999,-999,-999,17,63,2
2020-01-22,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,20,0
2020-01-23,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,25,0
2020-01-24,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,22,0
2020-01-25,Algeria,28.0339,1.6596,0,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,19,0
