Data,Municipio,confirmados,Mortos,população,confirmado_100K,taxa_mortalidade,Área,População,dens_demog,tx_cresc_pop,grau_urb,ind_env,pop_menor_15,pop_60_mais,razao_sexo,Qtd_Leitos_UTI_Adulto,SUS_adulto,Qtd_Leitos_UTI_Pediatrica,SUS_Pediatrica
2020-04-04,São Bernardo do Campo,77,4,838936,9.17829,0.0519,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-04,São Caetano do Sul,38,1,161127,23.58388,0.0263,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-04,São Paulo,3496,212,12252023,28.53406,0.0606,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-03,Guarulhos,52,2,1379182,3.77035,0.0385,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-03,São Bernardo do Campo,70,4,838936,8.3439,0.0571,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-03,São Caetano do Sul,36,1,161127,22.34262,0.0278,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-03,São Paulo,3202,186,12252023,26.13446,0.0581,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-04-02,Guarulhos,35,2,1379182,2.53774,0.0571,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-04-02,São Bernardo do Campo,59,2,838936,7.03272,0.0339,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-04-02,São Caetano do Sul,33,1,161127,20.48074,0.0303,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-04-02,São Paulo,2815,164,12252023,22.9758,0.0583,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
